SIFAT	KARŞILIĞI
acı	tad
acılı	tad
açık yoğunluk
ağır ağırlık
akşamki	zaman
akuamarin 	renk
alev kırmızısı	renk
alev turuncusu	renk
alice mavisi	renk
alizarin 	renk
altı	sayı
altıgen	şekil
altıncı	sıra sayı
altınımsı	renk
altışar	miktar
altmış	sayı
altmışar	miktar
altmışıncı	sıra sayı
arka	yön
arkadaki	yön
asker yeşili	renk
aşırı	miktar
ayrık sarı	renk
az	miktar
az-çok	miktar
baharatlı	tad
bakır 	renk
bakır 	renk
barut 	renk
barut 	renk
basit	zorluk seviyesi
bataklık yeşili	renk
bataklık yeşili	renk
bebek	yaş
bebek mavisi	renk
bebek mavisi	renk
bej	renk
bej	renk
berrak mavi	renk
beş	sayı
beş yüz	sayı
beş yüzer	miktar
beş yüzüncü	sıra sayı
beşer	miktar
beşgen 	şekil
beşinci	sıra sayı
beyaz	renk
beyaz	renk
bin	sayı
bin altı yüz	sayı
bin altı yüzüncü	sıra sayı
bin beş yüz	sayı
bin beş yüzüncü	sıra sayı
bin bir	sayı
bin birinci	sıra sayı
bin dokuz yüz	sayı
bin dokuz yüzüncü	sıra sayı
bin dört yüz	sayı
bin dört yüzüncü	sıra sayı
bin iki yüz	sayı
bin iki yüzüncü	sıra sayı
bin sekiz yüz	sayı
bin sekiz yüzüncü	sıra sayı
bin üç yüz	sayı
bin üç yüzüncü	sıra sayı
bin yedi yüz	sayı
bin yedi yüzüncü	sıra sayı
bin yüz	sayı
bin yüzüncü	sıra sayı
biner	miktar
bininci	sıra sayı
bir	sayı
bir milyar	sayı
bir milyarıncı	sıra sayı
bir milyon	sayı
bir milyonuncu	sıra sayı
bir trilyon	sayı
bir trilyonuncu	sıra sayı
birer	miktar
birinci	sıra sayı
birkaç	miktar
bondi mavisi	renk
bondi mavisi	renk
bordo	renk
bordo	renk
bronz 	renk
bronz 	renk
bugünkü	zaman
buğday 	renk
buğday 	renk
bulutlu	hava durumu
burgonya	renk
burgonya	renk
büyük	ebat
camgöbeği	renk
camgöbeği mavisi	renk
celadon	renk
çam yeşili	renk
çay yeşili	renk
çelik mavisi	renk
çember	şekil
çeyrek	miktar
çikolata 	renk
çivit 	renk
çocuk	yaş
çok	miktar
çokgen	şekil
dağ pembesi	renk
deniz kabuğu	renk
deniz mavisi	renk
deniz yeşili	renk
devedikeni 	renk
dikdörtgen	şekil
doksan	sayı
doksan bir	sayı
doksan bir	miktar
doksan birinci	sıra sayı
doksanar	miktar
doksanıncı	sıra sayı
dokuz	sayı
dokuzar	miktar
dokuzuncu	sıra sayı
donuk turuncu	renk
dörder	miktar
dördüncü	sıra sayı
dört	sayı
dörtgen	şekil
dünkü	zaman
düşük	miktar
eğrelti yeşili	renk
ekşi	tad
elektrik mavisi	renk
elektrik yeşili 	renk
elips	şekil
elli	sayı
ellinci	sıra sayı
ellişer	miktar
enternasyonal turuncu	renk
eski altın	renk
eski gül	renk
eski iplik	renk
eski lavanta	renk
evvel	zaman
fakir 	maddi durum
falu kırmızısı	renk
fazla	miktar
fildişi 	renk
fransız gül 	renk
galibarda	renk
gece mavisi	renk
geceki	zaman
geçen	zaman
geçmiş	zaman
gelecek	zaman
genç	yaş
geri	yön
gerideki	yön
gök mavisi	renk
gök mavisi	renk
gri	renk
gri-kuşkonmaz	renk
gül 	renk
gül 	renk
gümüşi	renk
güncel	zaman
güney	yön
hafif ağırlık
haki	renk
halka	şekil
ham toprak	renk
hardal 	renk
havuç 	renk
hile mavisi	renk
holivod kırmızısı	renk
horozibiği 	renk
ılık	sıcaklık
ihtiyar	yaş
iki	sayı
iki bin	sayı
iki bininci	sıra sayı
ikinci	sıra sayı
ikişer	miktar
ileri	yön
ilerideki	yön
ilk	sıra sayı
ilkbahar yeşili	renk
ince	ebat
iri	ebat
irice	yön
islam yeşili	renk
kabak 	renk
kahve	renk
kahvemsi gri	renk
kahverengi	renk
kalın	ebat
kamuflâj yeşili	renk
kare 	şekil
karlı	hava durumu
karolina mavisi	renk
