alternatif belirlemek
anlamaya çalýþmak
araba sürmek
bölüme kayýtlanmak
çöp atmak
dayak atmak
ders çalýþmak
ders seçmek
ders vermek
derse girmek
derse kayýtlanmak
etkileþim saðlamak
gol atmak
gol kurtarmak
göz gezdirmek
gözden kaybolmak
hazýr bulunmak
hesaba katmak
ihtiyaç duymak
iletiþim kurmak
kayýt silmek 
kayýt tutmak
kontör yüklemek
kulak asmak
kursa katýlmak
kursa kayýtlanmak
küplere binmek
ok atmak
okula kayýtlanmak
okulu bitirmek
ortadan kaldýrmak
oyun oynamak
para kazanmak
sessiz kalmak
sýnava girmek
silah açmak
sipariþ hazýrlamak
sisteme kaydetmek
sofra hazýrlamak
sofra kurmak
taký takmak
telefon etmek
teste girmek
top atmak
top tutmak
uslu durmak
uyarý oluþturmak
veri yüklemek
yardým istemek
yemek hazýrlamak
